tbl_cotas.id_consultor,Regiões.regiao,tbl_cotas.Consultor_Matricula,tbl_cotas.nm_unidade_bi_original,Medidas.Produção Oficial,Medidas.Retenção
61766584000103,,012718 ZINELLI INVESTIMENTOS LTDA,,1500000,
61943900000167,,011940 AGAPE INVESTIMENTOS LTDA,,331000,
